Seq. ID.	Class	AMP Probability
PROTEIN_1	NAMP	0.05
PROTEIN_2	AMP	0.55
PROTEIN_3	AMP	0.99
PROTEIN_4	AMP	0.65
PROTEIN_5	AMP	0.85
PROTEIN_6	NAMP	0.43
PROTEIN_7	NAMP	0.01
PROTEIN_8	NAMP	0.12
PROTEIN_9	NAMP	0.23
PROTEIN_10	AMP	0.85
PROTEIN_11	NAMP	0.35
PROTEIN_12	AMP	0.92
PROTEIN_13	NAMP	0.37
PROTEIN_14	NAMP	0.02
PROTEIN_15	AMP	0.91
PROTEIN_16	AMP	0.82
PROTEIN_17	AMP	0.97
PROTEIN_18	NAMP	0.35
PROTEIN_19	AMP	0.94
PROTEIN_20	NAMP	0.23
PROTEIN_21	AMP	0.89
PROTEIN_22	AMP	0.89
PROTEIN_23	NAMP	0.30
PROTEIN_24	AMP	0.96
PROTEIN_25	NAMP	0.14
PROTEIN_26	NAMP	0.35
PROTEIN_27	AMP	0.85
PROTEIN_28	AMP	0.73
PROTEIN_29	AMP	0.80
PROTEIN_30	AMP	0.77
PROTEIN_31	AMP	0.86
PROTEIN_32	NAMP	0.25
PROTEIN_33	NAMP	0.00
PROTEIN_34	NAMP	0.17
PROTEIN_35	AMP	0.99
PROTEIN_36	AMP	0.98
PROTEIN_37	AMP	0.84
PROTEIN_38	NAMP	0.26
PROTEIN_39	NAMP	0.36
PROTEIN_40	AMP	0.85
PROTEIN_41	NAMP	0.12
PROTEIN_42	AMP	0.72
PROTEIN_43	AMP	0.89
PROTEIN_44	NAMP	0.16
PROTEIN_45	AMP	0.71
PROTEIN_46	NAMP	0.09
PROTEIN_47	AMP	0.85
PROTEIN_48	AMP	0.92
PROTEIN_49	AMP	0.61
PROTEIN_50	AMP	0.50
PROTEIN_51	NAMP	0.03
PROTEIN_52	AMP	0.99
PROTEIN_53	AMP	0.83
PROTEIN_54	AMP	0.87
PROTEIN_55	AMP	0.97
PROTEIN_56	NAMP	0.37
PROTEIN_57	NAMP	0.09
PROTEIN_58	AMP	0.95
PROTEIN_59	AMP	0.76
PROTEIN_60	AMP	0.81
PROTEIN_61	AMP	0.88
PROTEIN_62	AMP	0.70
